,Unnamed: 0,content,sentiment
10,10,"The itinerary was okay, but we didn’t spend much time on Gulangyu Island. We only had two hours of free time, and the price was moderate. However, the accommodation and dining options for the same-priced Shanghai tour I reported last year were incomparable. I was quite satisfied with Shanghai last year. The accommodation conditions this year are poor, and lunch and evening are basically not included. Of course the tour guide is still better!",Postive
11,11,"I had a lot of fun on this trip. The tour guide Liao Peifeng was funny and humorous along the way, his explanations were also very good, and he was also very honest. give it a like.",Postive
12,12,"The tour guide Lin Weiming is very good, very humorous, and it also relaxes the mood...<br>It would be better if the price could be more favorable. . . . .",Postive
13,13,"I was very satisfied with the itinerary. I basically visited all the attractions in Xiamen and it was very cost-effective! In particular, the tour guide Guo Jiangxia was very good and I was very satisfied with the whole trip. This time, eight people in my family came together and they were all very happy. It was great~",Postive
14,14,"The tour guide Zhang Zhongshui has very good service, is very enthusiastic, and explains in detail. Five-star praise! A very pleasant trip!",Postive
15,15,"This five-day tour of Xiamen, Zhangzhou Tulou, and Gulangyu Island was very enjoyable. First of all, the seaside town has a beautiful environment, pleasant climate, and a pleasant atmosphere. Secondly, the scenic spots are exquisite and the tourist facilities are complete, such as sailing boats, Tulou, Yunshuiyao, Gulangyu Island, Fort, Zeng'ancuo, Huandao Road, Nanputuo, Jimei Mei Village, there are wonderful things everywhere. Finally, the quality of the tour guides is very high, especially Zhang Zhongshui, the tour guide for Gulangyu Island and city tours. The young man has strong coordination and scheduling skills and focuses on taking care of elderly tourists. Every scenic spot, every building, and every piece of history can be explained in detail and has a large amount of information. , clear and organized, whether it is the arduous journey of the patriotic overseas Chinese Tan Kah Kee or the plants and trees of Gulangyu Island, combined with real scenes, characters, and history, the story is eloquently told, allowing people to wander in the scenery and follow the explanation. It greatly enhances the depth and thickness of your trip to Xiamen. Tour guide Zhang Zhongshui is dedicated and dedicated. I wish you a happy life and everything you want!",Postive
16,16,"If you go to Xiamen, you must eat seafood. I recommend the small glasses seafood that locals go to. The one at the main store has to queue up! The price is affordable and relatively fresh, and the fruits are also very cheap. It is recommended to buy pineapples and passion fruits at Yunshuiyao. Small pineapples are 5 yuan for two, and passion fruits are 10 yuan for 15 pieces. Mangoes can be bought at Zengcuo'an, and the nougat and pastries are souvenirs. Pancakes, pork breasts, etc., I was addicted to them at the time. You can try all kinds of them! If you need it, just buy it on the last day of the trip. Otherwise, you will be in trouble. You will go to Lujiang River at night to enjoy the scenery. On the return boat, they will sell cigarettes and nougat. The two of us spent a total of 5,000 for five days, and breakfast was at the hotel. I basically ate breakfast, lunch and evening by myself, which was pretty good, and I ate all the specialties. I didn’t buy anything to bring back, otherwise it would cost me 5,000 yuan!",Postive
17,17,"This trip to Xiamen was pretty good. The airport pick-up, accommodation, and itinerary arrangements were all pretty good. The furnishings of Yunhe Hotel were old but spacious and comfortable, and the breakfast was pretty good. The room at Runxianglong Hotel was too small. It was difficult for two people to spread their suitcases. The breakfast was too poor. There were two tour guides accompanying us on this trip. The female tour guide who went to the Tulou was Xiao Xiao Zeng. She was quite enthusiastic and did a good job leading the tour. Later, when we went to Gulangyu Island, Zengcuo'an, Xiamen University, and Nanputuo Temple, we had a male tour guide named Lin Weiming. He had a cheerful personality and was very interactive on the bus. He sang local Minnan songs for everyone, which boosted the atmosphere in the bus. It was very good. Tour guide, if you come to Xiamen next time, you must find tour guide Xiaolin. Overall, this trip to Xiamen was pretty good. Zhongshan Road, Taiwan Road, Little Glasses Seafood Food Stall, Shacha Noodles, Bamboo Shoots, Oyster Omelette, Longtou Road’s shark fish balls and other snacks are all here. It was a worthwhile trip to eat all over.",Postive
18,18,"** Although the hotel we booked is surrounded by the sea and the sea breeze is quite comfortable, it is a bit remote and the transportation is a bit inconvenient. The hotel is quite simple, but the most dissatisfying thing is that the breakfast only provides a steamed bun, an egg and a bottle of drink. It is the same for three days, and there is no change of taste. We just deal with it hastily. We can only spend extra money. Buy breakfast. Fortunately, there is a snack street there, with sand tea noodles, oyster fried, peanut soup, oysters, bamboo shoot jelly, Ye's mochi, gold-wrapped silver, all kinds of snacks, and the prices are OK. You must eat mangoes in Xiamen, they are fresh and delicious. When you first take a boat on Gulangyu Island, you can enjoy the sea breeze and enjoy the scenery. When you get to the island, you need to walk out. Today's Gulangyu Island is commercialized and feels average. Zengcuo'an is a paradise for foodies.",Postive
19,19,"People in Xiamen are very enthusiastic. Even if they don’t spend money, they will tell us where there is fun in Xiamen and suggest where we should go. We stayed in an inn, and the sea was right outside our door. After two days of playing, we felt that the time was a bit short. Next time we go to play, we must go to Kinmen, which is just opposite Xiamen. Another regret this time is that I didn’t take a sailboat or sightseeing bus. People said that you can go to Taiwan and pass by the sightseeing bus, so friends who are going there recommend that you definitely go there. Gulangyu Island and Huandao Road are recommended to friends who want to go there next time. They are really beautiful. The tour guide Chen Jinyue is also very enthusiastic. I am very satisfied with this trip and will recommend Xiamen to my colleagues when I return to the company. From now on, I will choose Tongcheng when traveling.",Postive
20,20,"Because I went out during the National Day, I stayed in a B&B. The environment was not good and could not be compared with the pictures. However, the transportation was very convenient, the landlady was also enthusiastic, and the tour guide was also good. However, it is recommended not to participate in self-funded projects when going to Gulangyu Island. The science and technology museum is too deceptive. , so deceptive. The 90 yuan ticket is for activities that are not even worth 10 yuan. In addition, it is very comfortable for people to go to Xiamen. It is not tiring to take children there. The beach is beautiful and the food is delicious. The people of Xiamen are also It's very welcoming and the buses are very powerful. There is a bus stop near where we live. There is a No. 29 bus that basically covers two-thirds of Xiamen's tourist attractions. It is very good. You can only rely on public transportation to go out. It is quite crowded on National Day.",Postive
21,21,"I heard a long time ago that Gulangyu Island in Xiamen is a beautiful island and a very suitable place for leisure and vacation. I happened to have a few days to rest, so I asked Consultant Wang Li about the Xiamen itinerary. Consultant Wang was very patient and helped me recommend good routes. Thank you very much! Together with my wife, we took the Spring and Autumn Flight at 1:30 in the afternoon. There was no free baggage allowance, and the luggage alone cost 100 yuan per person. It took an hour and a half to fly to Xiamen Gaoqi Airport. Xiamen is not big, the transportation is very convenient, and the road is not very busy. It was crowded and we started our trip to Xiamen with excitement. Our tour guide Xiao Zeng and tour guide Lin Weiming were very responsible and serious. They took us to enjoy the rivers and mountains of Xiamen and eat Gulangyu snacks, fried oysters, raw oysters, and ginger mother-in-law. Ducks and so on, the tour guide is very hard and not easy. The five-day trip ended with our laughter and laughter. It was very, very unforgettable. Traveling on the same journey, happy every journey!",Postive
22,22,"This trip was the first time for my parents to fly. It was the first time for me to travel alone with my parents and children, so I had many concerns. However, before departure, my most trusted travel consultant, He Yinqing, was very patient in helping me answer and coordinate. Even things that I hadn't thought of would be reminded of for me, and they were still reminding me before I got on the plane. On the second day after arriving in Xiamen, my local tour guide Lin Yina waited for us patiently at the hotel very early. Fortunately, there were only four of us in the group for these two days, so Xiaolin joked that we were a private luxury group. The itinerary arranged by Xiaolin was very reasonable. The old man didn't feel rushed at all. Seeing that her mother had too many things in her hands, she rushed to help her get them. Before eating or buying anything, she would remind me to pay attention to the price. On the morning of the third day of the trip, Xiaolin thoughtfully treated us to authentic soup dumplings and fruits. We got along like a family. When it was time to go home, she also helped us keep an eye on whether the car taking us to the airport arrived on time. Wait, my parents joked that they would ""complain"" to Lin Yina when they return to Beijing. How could this little girl be so considerate, so cute, and so nice? 😂😂Thank you to the people I met on this journey, thank you for every word of advice, every act of kindness, and every bright smile. Looking forward to the next reunion🌹🌹🌹With organization, the same journey, He Yinqing, and Lin Yina, you are not afraid of trouble! 🎉🎉🎉🎉🎉",Postive
23,23,"The transportation arrangements are very good👍, and the customer service attitude is also great. Since the main purpose of traveling with children is to make the journey comfortable, the itinerary was arranged very well 👍 and we visited all the major attractions in Xiamen! The scenic spots on the itinerary also went to the Huli Mountain Fort. I went to Zhongshan Road and ate a lot of special snacks. I could also stay one night on Gulangyu Island. Friends who want to go can arrange to stay one night on Gulangyu Island! <br>We changed our tickets in advance so we could travel freely during the day for two days. We also took our children to the Xiamen Science and Technology Museum, which was great! The kids loved it! It’s just a pity that I didn’t go to Kinmen. Friends who want to go to Xiamen can change their tickets and go to Kinmen for a day.",Postive
24,24,"The city flower of Xiamen is bougainvillea and the city tree is poinciana; the 🌴 on the roadside of Xiamen is only a landscape tree and does not bear coconuts. The coconuts you see are all from Hainan; the housing price in Xiamen is said to be 40,000 yuan per square meter. The price is even more staggering, 60,000 yuan per square meter; in Xiamen, the starting price is 10 yuan, and then jumps to 50 cents every 70 seconds. If you encounter a traffic jam, just watch the meter; if you are not in a hurry, you can choose to travel 🚌 , and very convenient; Xiamen has many delicacies, such as seafood, bamboo shoot jelly, fried oysters, rice rolls, ginger duck, roasted pork rice dumplings, peanut soup, fish balls, as well as Nanputuo’s vegetarian cakes and Gulangyu’s New Sihai stuffing. Pancakes and Ba Po Po’s roasted grass jelly, I think I will miss them. The flight was delayed due to weather reasons. Are you keeping me? [Huge face] Thank you to the tour guide Lin Hualin for accompanying and explaining the whole process. The service is in place, attentive and considerate, and the driver is responsible for the pick-up and drop-off. Thank you all for your hard work! Xiamen is beautiful and has so many delicious foods that it’s hard to leave. I’ll come back if I have the chance.",Postive
25,25,"This trip was okay because it was the first time I traveled alone. Or go on a long trip! It feels okay! <br><br>Accommodation is OK, you stay in an inn! The service is good👻👻<br><br>It’s actually quite good to travel to Xiamen alone. I really like the environment there! Very comfortable. Can't bear to leave",Postive
26,26,"The same-trip semi-self-guided tour booked online took off on July 29 and arrived in Xiamen at 7pm after 9 hours. The tour guide who received us, Xiao Wang (Wang Yifang), was very enthusiastic and would tell us the precautions for tourists in advance so that we would not be deceived. There are no shopping shops throughout the journey, or tourists voluntarily go to buy some souvenirs. It is recommended that everyone must try Ba Po Po's roasted grass jelly. The food at Zengcuo'an is full of ingredients and delicious, and the price is very reasonable, only 7 yuan a cup! Huang Zehe’s peanut soup, we had the one with sago, it was also 7 yuan a cup, very delicious! In short, there are a lot of snacks, large intestines wrapped in small intestines, fish balls, mochi... Staying for one night on Gulangyu Island, the room feels like Nice, very cozy and clean. You can only travel on the island on foot, there are no motor vehicles. There are many intersections on the island, with about 200 small roads. The overall feeling is pretty good, except that when I went to Xiamen Zhongshan Road Pedestrian Street and took a taxi at night, the driver took a detour and paid an extra 10 yuan (18 yuan for the trip, 28 yuan for the return trip).",Postive
27,27,"Xiamen is a very beautiful city. Thanks to the tour guide Xiaohong for accompanying us all the way. He introduced Xiamen’s cultural background, customs, special snacks, etc. in detail in his sweet voice. It gave us a deeper understanding of Xiamen and made us want to stay in Xiamen. Ha ha! The time was also arranged very well, and I have already gone home with the loot! Full of sense of accomplishment ✌️✌️ I bought the pearls from Zhongshan Road, the dried fish fillets from Gulangyu Island, Jiageng** from Xiamen University, the vegetarian cakes from Nanputuo Temple, and the dried fruits from Zengcuo’an. My eyes were full and my stomach was full😍😍 Looking forward to it Next trip! !",Postive
28,28,"There were many people traveling during the National Day, so I was afraid of the hassle of hotel booking and transportation, so I decided to sign up for a group tour. But I feel good and have a lot of fun. It feels good to have a tour guide, otherwise you won’t be able to get a lot of knowledge. Anyway, it feels better to combine group tours with independent travel. I ate bamboo shoot jelly, it tasted good, I liked it very much. I like the Ring Island Road the most. The electric car I rented is not tiring and comfortable, and I can enjoy the beautiful scenery.",Postive
29,29,"1. The accommodation conditions are poor, there are cockroaches, the location is remote, the breakfast provided is average, and the hotel service attitude is not good. It’s inappropriate not to provide lunch. 2. The transportation provided is okay and the pick-up service is good. 3. The route arrangement is a bit tiring. Moreover, the tour guide is also changed, but it is okay to join the group together. 4. The customer service attitude is very good and Jiang Jian is very responsible. 5. The sky in Xiamen is very blue. The fruits are delicious but not cheap. You can buy fresh seafood from the market.",Postive
30,30,"This trip to Xiamen feels great. First of all, the itinerary is very reasonable and combines work and rest. Friends in my group live in three hotels. The tour guide Wang Youde who leads the group is very dedicated and will follow everyone's requirements and itinerary every day. We arranged the departure time for everyone, carefully explained to us the knowledge and anecdotes about the scenic spots, and enthusiastically helped everyone solve various problems. There was no shopping in the whole process, and the service at the pick-up station was also in place. We picked up and dropped off on time according to everyone's requirements. The chefs were all Very polite, we feel very happy, and we will follow Tongcheng Travel again in the future.",Postive
31,31,"On the first day, it was a bit far to go to Tulou. I had to go to a shopping spot to take a rest in the bathroom. I was originally pressed for time but was delayed for a while. The group meal provided is really just to fill your stomach. Before the meal, they sell tea. They also say that the food is hot for everyone, and the group meal is freshly made. Everyone is invited to taste tea before the meal. . I don’t have much time to visit the Tulou, and I spend most of my time on the road. <br>On the second day of Gulangyu Island, we first went to Baicheng Beach. We walked on the beach and blew in the sea breeze. It was good and the children liked it very much. The sea water in Xiamen has become much cleaner in recent years. We went to the island at 11 o'clock and went to the snack street. The old house tea noodles introduced by the tour guide Xiao Guo were very delicious. Unfortunately, we didn't have the stomach to taste all the delicacies on the island. We walked around, walked down and went back to the hotel. . <br>On the third day, Zengcuo’an, Xiamen University, Nanputuo. The most relaxing day among the three days, the sun was quite bright, but I was in a good mood. <br>Special thanks to tour guide Guo Jiangxia for her meticulous arrangements. She always spoke with a smile. It was very hard on a hot day. Thank you very much.",Postive
32,32,"It's very beautiful, but it takes a lot of time to travel by car. The tour guide is also very good. I didn't buy any specialties when I came back. They will help me mail them to me very well. I also have a lot of time for free travel, basically at night, because the hotel is really convenient. The Yazhuang side is the center of Xiamen. There is Lotus Park Fried Crab nearby. Ask the people at the hotel and they will introduce it to you. The Yunshuiyao side is also very beautiful. You can buy a Pien Tze Huang and take it back with you. I went to the She people to buy silver jewelry. The pineapples are delicious and very sweet, as well as the red bananas. You can try to bring some of the pancakes back (I think the coconut flavor is delicious), because you won’t be able to buy them when you come back. There is a beach on Gulangyu Island. It is recommended to go in the afternoon, as it is too sunny in the morning, so go buy a seal book elsewhere in advance. There are stamps that can be stamped when you go there. It is recommended to take it with you on your trip from Gulangyu Island, because you can stamp everything, leaving a beautiful souvenir. Zhongshan Road is free to travel , it’s beautiful at night, you can go buy some food and come back, basically you can spend 3 days shopping, because you spend 2 days on the way home, or on the way to Xiamen",Postive
33,33,"A very satisfying trip! Because I was traveling alone with a child, I chose the same trip. The itinerary was very reasonable and there was enough time to visit each scenic spot. After arriving in Xiamen, someone would send them directly to the hotel, which was very convenient. I chose to travel independently on the first day The botanical garden is very close to the hotel. The hotel is in a good location and very close to the attractions! And there’s no need to change the entire process! Went to Yunshuiyao the next day and enjoyed the beautiful scenery all the way without any expense! On the third day, you can shop and eat at various Internet celebrity shops in Gulangyu Island. On the fourth day, Zengcuo'an, Nanputuo, and Xiamen University are all worth visiting. On the fifth day, you upgraded to a sailboat! Highly recommended, it’s really fun! I had a lot of fun over the past few days😊! It is especially suitable for traveling with children. However, Xiamen’s ultraviolet rays are relatively strong, so you should pay attention to sun protection! It’s best to bring a portable fan with you wherever you go so it doesn’t get too hot!",Postive
34,34,"I often go out and travel, and have experienced traveling with many travel apps. It is my first time to use Tongcheng. The service of Tongcheng in the initial order and payment is very good, and the text message and phone call schedule and service matters are in place. I look forward to the journey starting. Arriving at Xiamen Airport, We were picked up in time and stayed at Runxianglong Hotel. The next day, tour guide Xiao Huang took us to Tulou Yunshuiyao. Tour guide Huang was very considerate and enthusiastic in his service and explanation along the way. Although the weather was very hot, everyone was very happy. We returned to the hotel in the evening I slept soundly after being tired. In the next few days, we were led by tour guide Zheng Luyan, who may have less experience than tour guide Xiao Huang. On the day we went to Gulangyu Island, we took our luggage and other items on the bus and asked the tour guide because the luggage was very heavy. It was very inconvenient to go up to Gulangyu Island and we had to bring it back tomorrow, so in the end we had to take it with us. However, the tour guide Xiaolu was still very responsible. After disembarking, we hired a trolley to deliver our luggage and belongings to the hotel in advance. When we came back the next day, we stayed in the same place. In fact, we can store our luggage at the hotel. The tour guide Xiaolu has also been working very hard these days and his voice has become hoarse. The service is still very good. We have a 6.30 early flight on our return trip, so we arrive at the airport two hours in advance to pick us up. The chef told us via text message that he would pick us up at 4 o'clock in the morning. We were planning to pack breakfast at 4 o'clock. However, the hotel did not agree and could only start packing at 4.20. After communicating with the tour guide Xiaolu, the pick-up driver postponed picking us up for half an hour. Although the time was a bit tight, we still managed to pick us up. The journey was smooth. I hope that the service on the same journey can be more detailed, and that the itinerary consultant can keep abreast of the communication of the itinerary and services, and be considerate, follow-up, and have full control of the whole process. In short, it was a pleasant journey. We will come back on the same journey!",Postive
