,content,sentiment
10,行程安排的还可以，就是鼓浪屿停留的时间不多，只有两个小时的自由活动时间，价钱也适中，但是跟我去年报的同等价位上海游的住宿与餐饮没法相比，去年上海比较满意，今年的住宿条件差，中午晚上基本不包含。当然导游还是比较好的！,正
11,这次出行玩的很开心，廖培峰导游一路上风趣幽默，讲解的也很好，人也很纯朴哟。赞一个。,正
12,林伟明导游挺好，挺幽默风趣，也放松一下心情……<br>如果价格能更优惠点更好。。。。。,正
13,行程很满意，基本上厦门的景点都有玩到了，性价比很高！特别郭江霞导游人很好，整个行程很满意～这次家里八个人一起来，都很开心～棒棒的～,正
14,导游张忠水服务很好，很热情，讲解的也很详细，五星好评！很愉快的一次旅途！,正
15,本次厦门、漳州土楼、鼓浪屿五日游很尽兴。首先，海滨小城环境美、气候宜人，赏心舒畅。其次，景点精致，旅游设施完备，帆船出海、土楼、云水谣、鼓浪屿、炮台、曾安厝、环岛路、南普陀、集美学村，处处有精彩。最后，导游素质很高，特别是鼓浪屿和市内游的带队导游张忠水，小伙子协调调度能力强，对老年游客重点照顾，每个景点、每栋建筑、每段历史讲解起来如数家珍，信息量大、条理清晰，无论是爱国华侨陈嘉庚的艰辛历程，还是鼓浪屿的一草一木，结合实景、人物、历史，娓娓道来，人在景中游，心随讲解走。大大升华了厦门之游的深度、厚度。张忠水导游敬业、精业，在此祝 生活幸福、心随所愿！,正
16,去了厦门肯定要去吃海鲜，推荐当地人都去吃的小眼镜海鲜，总店那个，要排队！价格实惠，也比较新鲜，水果也很便宜，建议在云水谣买菠萝和百香果，小菠萝五块两个，百香果10块15个，曾厝垵买芒果，伴手礼那些牛轧糖和酥饼猪肉脯那些，当时都吃过瘾了，各种让你试吃试喝！有需要就在行程最后一天去买就行了，不然带着麻烦，夜游鹭江去程观景，返程船上就是推销烟啊牛轧糖那些，我们两个人所有总共五天花了五千，早餐都是酒店早餐，中午晚上基本都是自己吃的，还算不错，特色都吃到了，没买东西带回来，不然估计五千块刹不住！,正
17,这次厦门之旅还是蛮不错的，接机，住宿，路程安排都还不错，云鹤酒店陈设比较成旧但是宽敞舒服，早餐还不错。润祥隆酒店房间太小，两个人的行李箱摊开来都困难，早餐太差。这段旅途一共两个导游陪同，去土楼是一个小小曾的女导游，蛮热情的，带队也不错。后面去鼓浪屿，曾厝垵，厦门大学，南普陀寺都是叫林伟明的男导游，性格开朗，在车上互动性好，唱当地的闽南歌曲给大家听，带动车内的气氛，非常好的导游，下回如果还来厦门，一定要找小林导游。总的来说，这次厦门之旅还是不错的，中山路，台湾路，小眼镜海鲜大排档，沙茶面，土笋栋，海蛎煎，龙头路的鲨鱼鱼丸等等各种小吃都去吃了个遍，不虚此行啊。,正
18,**订的酒店虽然周边有大海，海风吹来挺舒服，但是有点偏僻，交通有点不方便。酒店里面挺简约的，但最不满意的是早餐就提供一个馒头、鸡蛋和一瓶饮料，住三天都是一样的，也不换换口味，就草草应付下，我们只能另外花钱去买早餐。幸好那里有条小吃街，有沙茶面、海蛎煎、花生汤、生蚝、土笋冻、叶氏麻糍、金包银，小吃应有尽有，价格还可以。厦门一定要吃芒果，新鲜味道又棒。鼓浪屿一开始乘船，可以吹海风观看风景，到岛上就需要步行走出来的，现在的鼓浪屿是商业化的，感觉一般。曾厝垵是吃货的天堂。,正
19,厦门的人们很热情，就算不消费他们也会说厦门哪里哪里好玩，建议我们去哪里。我们住在客栈，出门就是大海，去玩了两天感觉时间有点短，下次去玩的话我们一定要去一下金门，就在厦门的对面。还有这次的遗憾就是没有坐帆船跟观光车，人家说坐观光车可以到台湾路过一下，所以去玩的朋友建议一定要去玩一下。鼓浪屿跟环岛路建议下次去玩的朋友一定要去，真的很美。导游陈锦月也很热情，这次的旅行很满意，回到公司后会给同事推荐厦门的。以后出去旅游就选择同程了。,正
20,因为是国庆出去的，住的是民宿，环境不好，跟图片无法比，但是交通很便利，老板娘也跟热情，导游也不错，但是去鼓浪屿建议不要参加自费的项目，什么科技馆太忽悠人，好坑人的，90元的门票参加的是都不值10元的项目，另外去厦门人还是很舒服的，带小孩去也不累，沙滩很美，东西也很好吃，厦门人民也很热情，公交车很猛，我们住的地方附近有个公交站台，有个29路公交车基本包含了厦门三分之二的旅游景点，非常不错，出门完全靠公交就行，就是国庆比较挤,正
21,很久前就听说厦门鼓浪屿是一个很美的小岛，是十分适合休闲度假的地方。正好有几天休息，向王丽顾问咨询厦门的行程路线，王顾问很耐心的帮我推荐好的路线，非常感谢！和老婆一起，我们是乘坐下午一点半的春秋航班，没有免费行李额，光行李就花了一人一百，飞行一个半小时变到了厦门高崎机场，厦门不大，交通很方便，路上也不是很拥堵，怀着激动的心情开始了我们的厦门之旅，导游小曾和导游林伟明相当的负责，相当的认真，带我们饱览厦门的河山，吃鼓浪屿的小吃，海蛎煎，生蚝，姜母鸭等等，导游很辛苦很不易，五天的行程在我们的欢声笑语中结束了，非常非常的难忘，同程旅游，快乐每一程！,正
22,这次旅游是爸妈第一次坐飞机，第一次我一个人带着爸妈和孩子出游，所以顾虑很多问题，但出发前我最信任的旅游顾问何银青特别的耐心帮助我解答并且协调，连我没有想到的都会帮我想到，直到上飞机前还在叮嘱。到了厦门的第二天我的当地导游林艺娜，很早就在酒店耐心等我们，幸运的是这两天行程团里就我们四人，因此小林开玩笑的说我们是私人豪华小团，这两天小林安排的行程路线很合理，老人一点都不觉得赶，她看妈妈手中的东西太多，抢着帮妈妈拿，吃饭买东西前她都会提醒我要注意价格。第三天行程的早晨，小林还贴心的请我们吃了正宗小汤包和水果，我们相处的像一家人，我们该回家了，她还帮我们盯着送我们去机场的车是否按时到了等等，爸妈开玩笑的说等回到北京一定要“投诉”林艺娜，这个小姑娘怎么能这样贴心、这样可爱、这么好呢？😂😂谢谢这次旅途中所遇之人，谢谢你们的每一句叮嘱，每一个善意的举动，每一张灿烂的笑脸。期待下一次重逢🌹🌹🌹有组织、有同程、有何银青、有林艺娜，就不怕事！🎉🎉🎉🎉🎉,正
23,出行交通安排非常好👍，客户服务态度也棒。因带小孩以旅途舒适为主，行程此次安排棒棒哒👍，厦门主要景点都去了！行程安排的景点还去了胡里山炮台，自己去了中山路吃了好多特色小吃，另可以在鼓浪屿住一晚就好了，要去的朋友可以安排鼓浪屿住一晚比较好！<br>我们提前把机票改签了，这样有2个白天自由行，另外还带小孩去了厦门科技馆，非常棒！小孩们喜欢的不得了！就是有点遗憾没去金门，要去厦门玩的朋友可以改签去金门玩一天。,正
24,厦门的市花是三角梅，市树是凤凰木；厦门路边的🌴仅仅作为景观树，是不结椰子的，你看到的椰子都来自海南；厦门的房价，据说四万一平，鼓浪屿的更是令人咋舌，每平六万；厦门的🚕，起步价10块，然后每70秒跳五毛，如果遇到堵车就看着计价器跳吧；如果你不赶时间，可以选择🚌出行，也很方便；厦门的美食很多，海鲜、土笋冻、海蛎煎、肠粉、姜母鸭、烧肉粽、花生汤、鱼丸，还有南普陀的素饼、鼓浪屿的新四海馅饼、八婆婆的烧仙草，我想我会怀念的。因为天气原因，航班延误，是在留我么[捂脸]感谢导游林华林的全程陪伴和讲解，服务到位，细心体贴，还有司机师傅的接送，你们都辛苦啦！厦门很美，美食很多，让人舍不得离开，有机会我会再来的,正
25,这次出游还行，因为是第一次一个人出游。还是出远门！感觉还可以！<br><br>住宿方面都可以，住的是客栈！服务不错哦👻👻<br><br>一个人出游去厦门其实挺不错的。挺喜欢那边的环境！很舒服。都舍不得走,正
26,网上订的同程半自助旅游，7月29日动车，历经9小时晚上7点到达厦门。接待我们的导游小王（王艺芳），待人热情，会提前告诉我们游客注意事项，这样我们就不会上当受骗。全程没有购物店，要么是游客自愿去买一些土特产。推荐大家来一定要尝一下八婆婆烧仙草，在曾厝垵那边吃的料足味道也好，价格还非常美丽，只要7元一杯吆！黄则和的花生汤，我们吃的是加西米露的，也是7元一杯，非常好吃! 总之小吃非常多，大肠包小肠，鱼丸，麻糍……  住一晚鼓浪屿岛上，房间感觉不错，很温馨，干净。岛上出行只能步行，没有机动车，岛上的路口特别多，大概有二百多条小路。 总体感觉还是不错的，就是晚上去厦门中山路步行街回来打车被那司机绕路多付10元钱（去18元，回28元）,正
27,厦门是个非常美的城市，感谢小红导游的一路陪伴，用甜美的声音详细介绍了厦门的文化背景，风俗习惯，特色小吃等，让我们更深的了解了厦门，有种想留在厦门的冲动，哈哈！时间也安排得特别好，已经带着战利品回家啦！满满滴成就感✌️✌️扫荡了中山路的珍珠，鼓浪屿的干鱼片，厦大的嘉庚**，南普陀寺的素饼，曾厝垵的水果干，饱了眼福撑了胃😍😍期待下次旅行！！,正
28,国庆出游人多，怕订酒店和交通麻烦，所以决定报团。但是感觉良好，玩的也很尽兴。有导游感觉还是不错的，不然很多知识get不到。反正跟团和自由行相结合感觉比较好。吃了土笋冻，味道不错啊，很喜欢。最喜欢环岛路，租的电动车，又不累又舒服，欣赏美景。,正
29,1.住宿条件差，有蟑螂，地理位置偏僻，提供的早餐很一般，而且酒店服务态度不好。不提供午餐不合适2.提供的交通工具还可以，接机服务好。3.线路安排有点累。而且还换导游，不过散拼团这样还可以。4.客服态度很好，姜健很负责。5.厦门天很蓝，水果好吃可是不便宜，海鲜可以找市场买新鲜的做吃。,正
30,这次厦门之行感觉很棒，首先行程安排很合理，劳逸结合，我这个团的朋友们分住在三个酒店里，带团的王有德导游很敬业，每天都会根据大家的要求和行程路线安排好大家的出发时间，并且仔细为我们讲解有关景点的知识和趣闻，热心帮助大家解决各种问题，全程无任何购物，接送站的服务也很到位，根据大家的要求准时接送，师傅们都很客气，我们感到很开心，以后再出行还要跟着同程旅游走。,正
31,第一天去土楼路程有点远，中途被去了一个购物点为了上个洗手间休息一下，本来时间紧还这么耽搁了一会。送的团餐真的就只能填一下肚子，饭前又是推销茶叶，还美其名曰为了大家吃的都是热的，团餐都是现做的，饭前就请大家品品茶。游览土楼的时间没多少，基本都在路上。<br>第二天鼓浪屿，先去了白城沙滩，沙滩走走，吹吹海风，不错，孩子很喜欢。厦门的海水这些年干净了许多。十一点上岛，小吃街逛逛，导游小郭介绍的老宅沙茶面味道很赞，可惜没有肚子一一把岛上的美食都品尝一遍，走走逛逛，走到趴下回酒店。<br>第三天，曾厝垵，厦大，南普陀 。三天中最轻松的一天，太阳比较晒，但心情还不错。<br>特别感谢郭江霞导游细致的安排，说话总是带着笑容，大热天的很辛苦，赞一个。,正
32,特别美，但是就是坐车的时间多。导游也很好，我回来的时候没有买特产，**他们，他们会很有好的帮我邮寄到我这里，自由行的时间也是特别多的，基本上晚上都是，因为酒店实在心宿雅筑这边，是厦门的中心，周围有莲花公园煎蟹问一问酒店的人，他们会给你介绍的，云水谣那边也很美，去那边可以买一个片仔癀带回来，那边可以去畲族买银饰，菠萝很好吃的，特别甜，还有红香蕉，薄饼可以试着带一点回来（自认为椰子味的好吃），因为回来时就买不到了，鼓浪屿那边有沙滩，建议下午去，上午太晒了，提前去别处买印章本本，去了有印章可以盖，建议从鼓浪屿以后的行程都带着，因为都可以盖，留下美好的纪念，中山路是自由行的，晚上很美，可以去买些吃的回来，基本可以逛3天，因为2天你是在回家的路上度过的，或是在去厦门的路上,正
33,非常满意的一次出行！因为一个人带着孩子所以选择了同程，行程安排的很合理，每个景点都有足够的时间玩.到了厦门之后会有人员直接送到宾馆，很方便.第一天自由行我选择了距离酒店很近的植物园.酒店位置很好距离景点很近！而且全程不用换！第二天去了云水谣，无自费全程享受美景！第三天鼓浪屿各种网红店，逛吃逛吃.第四天曾厝垵.南普陀.厦门大学每个地方都值得逛一逛.第五天升级了帆船！强烈推荐真的蛮好玩的！几天下来玩的非常开心😊！特别适合带孩子出游.不过厦门紫外线比较强大家要注意防晒！最好再带个便携风扇走哪吹哪不会很热！,正
34,"经常出去游玩,体验过多家旅游app出游.第一次使用同程,初期下单付款同程服务都很好,短信电话日程安排及服务事项都很到位.期盼旅程开始.到达厦门机场,接机及时,入住润祥隆酒店也不错.第二天小黄导游带我们去土楼云水遥.一路上黄导游服务讲解都很贴心和热情.虽然天气很热大家都很开心.晚上回到酒店累了睡的很香.之后的几天由郑鹭艳导游领队,相对于小黄导游经验可能少一些,当天去鼓浪屿我们六入带上各自行李等物品上车,问导游行李物品很重带上去鼓浪屿很不方便,明天还得带回来,最后还是让带上.不过小鹭导游还是很负责任.下船后雇板车把我们的行李物品先期送到酒店.第二天回来后还是入住原来的酒店,其实我们完全可以把行李寄存到该酒店.这几天导游小鹭也很辛苦,嗓子也哑了.服务还是很到位.回程我们是早6.30的飞机,提前两小时到机场,接机师傅短信告知早4点来接我们,早餐我们准备4点打包,酒店不同意只能4.20开始打包,和小鹭导游沟通后,接机师傅推迟半小时来接我们.虽然时间有点紧张,但还是一路很顺利.希望同程服务能过更细一些,行程顾问能够及时了解沟通行程及服务的情况,做到贴心,跟踪,全程掌控.总之是一次愉快的旅程.同程我们还会再来!",正
35,"三月中旬，我们一行四个人参加了同程旅游五天四晚厦门游，在同程客服和导游热情周到的服务中转眼间圆满完成了全部行程，感觉很棒。尤其是我们旅游顾问徐华如在行前行后以及旅游中就积极帮助，热情服务，当抵达头天碰到住宿受ktw噪音影响睡眠，问题向当地旅店和**反映且无从解决时，跟同程一说立马解决，令人感觉关怀倍至。在旅游行程安排，交通接机送机，导游服务上也非常满意，旅店干净宽敞，地方导游小庄，李等两位工作认真负责，风趣热情地解说，让本来因丘陵起伏，路途有点累人的行程变得 兴趣昂扬，厦门气候宜人， 风景优美， 美食诱人，无论是 闲庭漫步中山路寻踪老厦门，情迷“海上花园""鼓浪屿赏万国建筑，还是醉美世界遗产福建土楼、乡村美景云水谣，品尝海鲜闽南特色客家小吃和体验购物，均让人倍爽亨受，清新休闲，不虚此行。附上照片约证。",正
36,整个行程轻松自由，住在中山路上的永丽达花园酒店🌸很便利。第一天入住酒店虽然有些小插曲（定酒店务必要备注好标间还是大床房），最后同程多方协调帮我升级为亲子房，这是旅程中最舒心的部分。早餐很丰富，晚上回到中山路上也有很多小吃和海鲜店，很赞！如果需要性价比更高，海鲜更新鲜的话，推荐去“小眼镜”或是明发广场，公车或地铁过去都很方便。第一天按行程去了胡里山炮台和鼓浪屿，郑导很耐心地讲解带着我们一家三口，一路跟着直到我们回中山路👍还给我们接下来旅行做了指导。第二天自家去了厦大，坐公交车很方便，如果可以找当地大学生做导游深度游也可以。自己玩也别有特色和轻松，出了白城门到白城沙滩，孩子玩的很开心。然后去了曾厝垵，两站路公交车，接着公交车b3一路有植物园，中山公园和白鹭洲公园，都值得一看。再有时间晚上去看了一场表演《闽南神韵》了解闽南文化，真心好看！第三天去了云水谣，当地报团一日游也很方便。最后一天可选择环岛游和科技馆或去海边漫步（时间充足可以去集美学村看看）～总之这次旅行超级惬意和享受，没有赶着跟团，当然要自己先计划好，不愿意公车，滴滴打车也超级方便，最后预祝大家厦门游开心,正
37,厦门这次游览景点非常多，安排充实，紧急联系人夏师傅非常给力，不论是安排住宿以及找回充电宝都尽心尽力，几位导游讲解详细，不辞辛苦，耐心细致，安排时间也恰到好处，头一天去土楼，行程安排了一天，吃饭也很合口味，吃的很饱，米饭也很软，像北方吃的米饭，在这几天伙食自行安排也能吃到地方特色的东西，非常棒，简直是吃货的天堂，第二天去了鼓浪屿，小资生活吸引人的眼球，惟一不好的是地接安排酒店没查到，又另行安排的，特产也买了很多，非常实惠，没有强制购物，海鲜新鲜而实惠，环岛骑行，着实让人过了把瘾，有机会还要来享受这里的生活，感受浪漫氛围，接送机师傅也非常贴心，时间把握的非常好，这几天还安排了去中山路玩，导游的推荐也很有参考价值。,正
38,很开心的一次旅行，很久之前就打算和爱人去旅游了，我们俩个人第一次在一起旅游，咨询了好久，旅游顾问毛姐姐也很耐心的给了许多建议，看见她开心我也就开心了，虽然厦门很热，北方人可能有点不习惯，但是很开心的一次旅行，不想让这次成为我们俩最后一次旅行，去厦门一定要去吃当地的小吃，很好吃的，还有一些特色鱼干也可以尝一下味道非常不错的，第一天带我们的小胖导游很和善，非常幽默，第二天黄麋鹿导游也是非常棒的，特别有耐心，而且非常善良，我手机掉海里了，她一遍一遍的告诉我怎么走才能找到维修的地方，第二天一见到我就问手机怎么样了，很暖心！总之，很开心的一次旅行！<br>她就要去北京工作了，我留在哈尔滨，隔的不算太远吧，可是心里却不是滋味，我希望我们两个可以一直走下去，我特别爱她，我们一起努力，异地算什么？还有四天我们就一千天了，这次旅行就当做给她的礼物了，谢谢同程能给我这次不留遗憾机会，谢谢！下次下下次以后所有的旅行都会找同程！我爱你宝宝，我爱你同程！,正
39,五个人出行，提前半个月定的行程，客服态度挺好的，一遍一遍的确认，还好5个人没收加床的费用，价格上比较便宜。第一天很愉快的下了飞机，接机师傅已经在等候了，很顺利的入住了云鹤酒店，就是屋里没有热风，由于厦门那几天下雨阴天，屋子里就有些冷，但是厦门就是一个没有热空调的城市，也没办法吧。到的比较早，自己查的导航去中山路步行街，公交车很容易找到，步行街吃的东西蛮多的，伴手礼也很多，试吃都吃饱了，哈哈。第二天早起去云水谣，土楼，景色很好，旅途略久，团餐不做评价了。第三天鼓浪屿，天气好，心情更好，满街的小吃，可以逛街的店铺，专业拍照的岛屿，店铺门口都有写着字的牌子，可以好好的臭美。住宿终于有热风了，客栈很不错，不大，到温馨，早餐也是店家自己做的，很美味的红糖馒头，小菜。第四天，南普陀，厦门大学，真的好适合谈恋爱的学校，景色美，配件设施齐全，还有个湖，好土豪的样子。第五天自由活动，又去了中山路步行街逛了一天，买了好多伴手礼，吃了小吃，很满足。悠闲地城市。冯桃桃导游性格很爽朗，比较实在，行程安排的也很紧凑到位，每个景点都不需要等待，以后有机会完单独再去鼓浪屿住几天了。,正
